country,ISO Country code,population,surface area (Km2),,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),,"GDP (billions PPP)",GDP per capita (PPP),"GDP growth (annual %)","health expenditure % of GDP","health expenditure per person","education expenditure % of GDP","education expenditure per person ",school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),,political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Guyana,GUY,"800,000","196,849",,44.6,-,0.654,-,42.8,,6.0,"7,873",3,4.5,336,-,-,10,11.4,70.8,31.20,,2,3,-0.04,-0.3,-0.4,-0.290,-0.51,42.50,34.80,42.10,68.40,58.70,30.00,31.9
Haiti,HTI,"11,000,000","27,560",,60.8,28.6,0.498,3.82,24.2,,19.4,"1,784",1,6.9,120,-,-,-,13.2,85.6,21.90,,5,5,-0.7,-2.1,-1.3,-1.090,-1.24,42.50,24.60,25.10,80.10,55.80,30.00,2.5
Honduras,HND,"9,000,000","111,890",,47.1,27.2,0.617,6.02,41.9,,43.2,"5,272",3.6,7.6,353,-,-,11,6.3,76.6,27.90,,4,4,-0.55,-0.5,-0.4,-1.050,-0.72,34.50,28.20,44.30,82.80,60.60,60.00,25.8
Hungary,HUN,"10,000,000","89,608",,28.2,26.4,0.838,6.07,66.1,,270.3,"27,482",2.9,7.2,"1,912",4.6,658,15,5.2,29.4,48.50,,3,2,0.81,0.5,0.7,0.530,0.09,57.10,36.40,57.60,78.60,66.70,70.00,10.1
Iceland,ISL,"300,000","100,250",,28.0,31.1,0.935,7.48,83.7,,16.5,"49,136",4,8.6,"4,116",-,-,20,3.8,44.2,43.10,,1,1,1.37,1.5,1.4,1.610,1.84,72.60,77.30,86.70,72.10,77.00,70.00,47.6
India,IND,"1,339,000,000","2,973,193",,35.2,29.2,0.640,4.05,40,,8662.4,"6,616",7.3,3.9,238,-,-,12,3.5,77.7,27.30,,2,3,-0.83,0.1,-0.3,0.000,-0.24,54.30,47.20,55.40,79.40,54.50,40.00,11.8
Indonesia,IDN,"264,000,000","1,811,569",,36.8,35.7,0.694,5.10,46.4,,3032.1,"11,720",4.8,3.3,369,3.3,115,13,5.6,90.7,17.60,,2,4,-0.51,0.0,-0.1,-0.350,-0.25,45.20,42.80,49.30,83.70,64.20,60.00,19.8
Iran,IRN,"81,000,000","1,531,595",,44.5,24.0,0.798,4.72,48.00,,1454.5,"18,078",0,7.6,"1,262",2.8,155,15,11.3,91.1,17.20,,6,6,-0.93,-0.2,-1.2,-0.680,-0.81,35.30,32.60,32.50,81.00,50.90,10.00,5.9
Iraq,IRQ,"38,000,000","437,367",,-,26.5,0.685,4.46,37.00,,647.2,"17,944",2.4,3.4,481,-,-,-,16,45.4,42.70,,5,6,-2.33,-1.3,-1.2,-1.640,-1.37,11.40,23.40,36.70,-,-,-,25.3
Ireland,IRL,"4,700,000","68,883",,31.3,30.0,0.938,7.06,80.30,,324.9,"69,231",7.8,7.8,"5,335",-,-,19,8.1,69.6,31.90,,1,1,1.02,1.3,1.6,1.430,1.55,79.00,79.00,87.70,76.10,80.40,70.00,22.2
Israel,ISR,"9,000,000","20,330",,42.8,28.8,0.903,7.33,66.50,,300.6,"35,179",2.6,7.4,"2,819",5.7,"2,154",16,5.6,51.8,40.10,,1,3,-0.88,1.4,1.3,1.020,0.83,83.10,61.20,78.20,60.90,72.20,70.00,27.5
Italy,ITA,"61,000,000","294,140",,31.9,28.1,0.880,6.20,69.10,,2234.5,"36,833",0.8,9.0,"3,351",4.1,"1,443",16,11.5,24.1,50.30,,1,1,0.24,0.5,0.7,0.320,0.19,60.90,40.10,71.20,55.20,62.50,50.00,31.0
Jamaica,JAM,"2,800,000","10,831",,35.0,36.9,0.732,5.89,49.70,,25.4,"8,976",1.1,5.9,511,6.0,292,-,13.3,77.2,27.60,,2,3,0.25,0.5,0.1,-0.160,-0.17,56.60,39.40,60.90,80.00,69.10,50.00,17.5
Japan,JPN,"127,000,000","364,485",,37.9,28.3,0.909,5.91,75.20,,5237.8,"41,275",0.5,10.9,"4,405",3.6,"1,368",15,3.1,54.1,39.10,,1,1,1.12,1.6,1.4,1.570,1.52,73.20,79.20,86.00,67.40,72.30,60.00,9.3
Jordan,JOR,"10,000,000","88,802",,39.7,-,0.735,4.81,48.70,,85.6,"12,278",2.5,6.3,568,-,-,13,13.2,69.4,32.00,,5,5,-0.53,0.1,0.1,0.260,1.17,57.30,51.90,57.60,92.40,64.90,60.00,15.4
Kazakhstan,KAZ,"18,000,000","2,699,700",,26.3,19.1,0.800,5.88,57.70,,451.3,"25,145",1.2,3.9,903,-,-,15,5.2,85.3,22.20,,7,5,0.02,0.0,0.2,-0.410,0.26,58.10,44.60,56.00,92.60,69.10,50.00,27.1
Kenya,KEN,"50,000,000","569,140",,48.5,24.2,0.590,4.48,35.40,,152.8,"3,361",5.6,5.2,157,5.3,70,11,11,77.5,27.40,,4,4,-1.08,-0.3,-0.2,-0.410,-0.82,44.00,27.50,47.90,78.50,54.70,50.00,21.8
Kiribati,KIR,"100,000",811,,-,-,0.612,-,-,,0.2,"1,823",4.2,7.6,152,-,-,12,-,0,117.60,,1,1,0.9,-0.3,-0.8,0.530,-0.96,35.30,37.90,45.00,72.40,50.80,30.00,6.5
